CIC_AEM_VERS = 3.0
CREATION_DATE  = 2026-07-16T08:23:42.531
ORIGINATOR     = CNES

META_START

COMMENT Earth orientation in inertial frame
COMMENT days (MJD), sec (UTC), q0 (real part), q1, q2, q3

OBJECT_NAME = EARTH
OBJECT_ID = EARTH

REF_FRAME_A = ICRF
REF_FRAME_B = ECF
ATTITUDE_DIR = A2B
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-02T17:37:22.842
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = FIRST

META_STOP

60677 14861.10261 0.142148 0.001200 0.000190 0.989845
60677 15453.56284 0.120735 0.001204 0.000164 0.992684
60677 16046.02307 0.099265 0.001207 0.000138 0.995060
60677 16638.48330 0.077749 0.001210 0.000112 0.996972
60677 17230.94353 0.056196 0.001212 0.000086 0.998419
60677 17823.40376 0.034617 0.001214 0.000059 0.999400
60677 18415.86399 0.013022 0.001215 0.000033 0.999914
60677 19008.32422 -0.008578 0.001215 0.000007 0.999962
60677 19600.78445 -0.030175 0.001215 -0.000019 0.999544
60677 20193.24468 -0.051758 0.001214 -0.000046 0.998659
60677 20785.70491 -0.073317 0.001213 -0.000072 0.997308
60677 21378.16515 -0.094841 0.001211 -0.000098 0.995492
60677 21970.62538 -0.116322 0.001209 -0.000124 0.993211
60677 22563.08561 -0.137748 0.001206 -0.000150 0.990467
60677 23155.54584 -0.159109 0.001202 -0.000176 0.987260
60677 23748.00607 -0.180397 0.001198 -0.000202 0.983593
60677 24340.46630 -0.201600 0.001194 -0.000228 0.979467
60677 24932.92653 -0.222709 0.001188 -0.000254 0.974884
60677 25525.38676 -0.243715 0.001183 -0.000279 0.969846
60677 26117.84699 -0.264606 0.001176 -0.000305 0.964356
60677 26710.30722 -0.285374 0.001170 -0.000330 0.958415
60677 27302.76745 -0.306009 0.001162 -0.000355 0.952028
60677 27895.22768 -0.326502 0.001154 -0.000380 0.945196
60677 28487.68791 -0.346841 0.001146 -0.000405 0.937923
60677 29080.14814 -0.367019 0.001137 -0.000430 0.930212
60677 29672.60838 -0.387026 0.001127 -0.000454 0.922068
60677 30265.06861 -0.406852 0.001117 -0.000479 0.913493
60677 30857.52884 -0.426489 0.001106 -0.000503 0.904492
60677 31449.98907 -0.445926 0.001095 -0.000526 0.895069
60677 32042.44930 -0.465155 0.001084 -0.000550 0.885228
60677 32634.90953 -0.484167 0.001072 -0.000573 0.874975
60677 33227.36976 -0.502954 0.001059 -0.000596 0.864313
60677 33819.82999 -0.521505 0.001046 -0.000619 0.853247
60677 34412.29022 -0.539814 0.001032 -0.000641 0.841784
60677 35004.75045 -0.557870 0.001018 -0.000663 0.829928
60677 35597.21068 -0.575666 0.001004 -0.000685 0.817684
60677 36189.67091 -0.593193 0.000989 -0.000707 0.805059
60677 36782.13114 -0.610444 0.000973 -0.000728 0.792058
60677 37374.59137 -0.627410 0.000957 -0.000749 0.778688
60677 37967.05160 -0.644083 0.000941 -0.000769 0.764955
60677 38559.51184 -0.660456 0.000924 -0.000789 0.750864
60677 39151.97207 -0.676520 0.000907 -0.000809 0.736423
60677 39744.43230 -0.692269 0.000889 -0.000829 0.721639
60677 40336.89253 0.707695 -0.000871 0.000848 -0.706518
60677 40929.35276 0.722790 -0.000852 0.000866 -0.691067
60677 41521.81299 0.737548 -0.000833 0.000884 -0.675293
60677 42114.27322 0.751962 -0.000814 0.000902 -0.659205
60677 42706.73345 0.766026 -0.000794 0.000920 -0.642809
60677 43299.19368 0.779731 -0.000774 0.000937 -0.626113
60677 43891.65391 0.793073 -0.000754 0.000953 -0.609125
60677 44484.11414 0.806045 -0.000733 0.000969 -0.591853
60677 45076.57437 0.818641 -0.000712 0.000985 -0.574304
60677 45669.03460 0.830855 -0.000691 0.001000 -0.556488
60677 46261.49483 0.842681 -0.000669 0.001015 -0.538412
60677 46853.95507 0.854114 -0.000647 0.001029 -0.520084
60677 47446.41530 0.865149 -0.000624 0.001043 -0.501514
60677 48038.87553 0.875779 -0.000602 0.001056 -0.482710
60677 48631.33576 0.886001 -0.000579 0.001069 -0.463681
60677 49223.79599 0.895810 -0.000556 0.001081 -0.444435
60677 49816.25622 0.905201 -0.000532 0.001093 -0.424982
60677 50408.71645 0.914169 -0.000508 0.001104 -0.405331
60677 51001.17668 0.922711 -0.000485 0.001115 -0.385491
60677 51593.63691 0.930822 -0.000460 0.001125 -0.365470
60677 52186.09714 0.938499 -0.000436 0.001134 -0.345280
60677 52778.55737 0.945738 -0.000411 0.001144 -0.324928
60677 53371.01760 0.952536 -0.000387 0.001152 -0.304424
60677 53963.47783 0.958889 -0.000362 0.001160 -0.283779
60677 54555.93806 0.964795 -0.000336 0.001168 -0.263001
60677 55148.39829 0.970251 -0.000311 0.001175 -0.242100
60677 55740.85853 0.975253 -0.000286 0.001181 -0.221086
60677 56333.31876 0.979801 -0.000260 0.001187 -0.199970
60677 56925.77899 0.983892 -0.000234 0.001193 -0.178759
60677 57518.23922 0.987524 -0.000209 0.001197 -0.157466
60677 58110.69945 0.990695 -0.000183 0.001202 -0.136099
60677 58703.15968 0.993403 -0.000157 0.001205 -0.114668
60677 59295.61991 0.995648 -0.000131 0.001208 -0.093184
60677 59888.08014 0.997429 -0.000104 0.001211 -0.071657
60677 60480.54037 0.998744 -0.000078 0.001213 -0.050096
60677 61073.00060 0.999593 -0.000052 0.001214 -0.028512
60677 61665.46083 0.999975 -0.000026 0.001215 -0.006914
60677 62257.92106 0.999891 0.000000 0.001215 0.014687
60677 62850.38129 0.999341 0.000027 0.001215 0.036281
60677 63442.84152 0.998324 0.000053 0.001214 0.057858
