CIC_AEM_VERS = 3.0
CREATION_DATE  = 2026-07-17T02:16:57.670
ORIGINATOR     = CNES

META_START

COMMENT Earth orientation in inertial frame
COMMENT days (MJD), sec (UTC), q0 (real part), q1, q2, q3

OBJECT_NAME = EARTH
OBJECT_ID = EARTH

REF_FRAME_A = ICRF
REF_FRAME_B = ECF
ATTITUDE_DIR = A2B
TIME_SYSTEM = UTC
START_TIME = 2025-01-01T12:00:00.000
STOP_TIME = 2025-01-11T11:59:21.868
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = FIRST

META_STOP

60676 51602.89204 0.927770 -0.000469 0.001121 -0.373150
60676 51693.24572 0.928995 -0.000466 0.001122 -0.370091
60676 51783.59939 0.930209 -0.000462 0.001124 -0.367029
60676 51873.95307 0.931413 -0.000458 0.001125 -0.363963
60676 51964.30675 0.932607 -0.000455 0.001127 -0.360892
60676 52054.66043 0.933791 -0.000451 0.001128 -0.357818
60676 52145.01411 0.934964 -0.000447 0.001130 -0.354740
60676 52235.36778 0.936128 -0.000443 0.001131 -0.351658
60676 52325.72146 0.937281 -0.000440 0.001133 -0.348572
60676 52416.07514 0.938424 -0.000436 0.001134 -0.345482
60676 52506.42882 0.939558 -0.000432 0.001136 -0.342389
60676 52596.78250 0.940680 -0.000428 0.001137 -0.339292
60676 52687.13617 0.941793 -0.000425 0.001138 -0.336191
60676 52777.48985 0.942895 -0.000421 0.001140 -0.333087
60676 52867.84353 0.943988 -0.000417 0.001141 -0.329979
60676 52958.19721 0.945070 -0.000413 0.001143 -0.326867
60676 53048.55088 0.946141 -0.000410 0.001144 -0.323752
60676 53138.90456 0.947203 -0.000406 0.001145 -0.320633
60676 53229.25824 0.948254 -0.000402 0.001147 -0.317511
60676 53319.61192 0.949295 -0.000398 0.001148 -0.314386
60676 53409.96560 0.950325 -0.000395 0.001149 -0.311257
60676 53500.31927 0.951345 -0.000391 0.001151 -0.308124
60676 53590.67295 0.952355 -0.000387 0.001152 -0.304988
60676 53681.02663 0.953355 -0.000383 0.001153 -0.301849
60676 53771.38031 0.954344 -0.000379 0.001154 -0.298707
60676 53861.73399 0.955323 -0.000376 0.001156 -0.295562
60676 53952.08766 0.956291 -0.000372 0.001157 -0.292413
60676 54042.44134 0.957250 -0.000368 0.001158 -0.289261
60676 54132.79502 0.958197 -0.000364 0.001159 -0.286106
60676 54223.14870 0.959135 -0.000360 0.001160 -0.282948
60676 54313.50237 0.960062 -0.000357 0.001162 -0.279786
60676 54403.85605 0.960978 -0.000353 0.001163 -0.276622
60676 54494.20973 0.961884 -0.000349 0.001164 -0.273455
60676 54584.56341 0.962780 -0.000345 0.001165 -0.270284
60676 54674.91709 0.963665 -0.000341 0.001166 -0.267111
60676 54765.27076 0.964540 -0.000337 0.001167 -0.263935
60676 54855.62444 0.965404 -0.000333 0.001168 -0.260756
60676 54945.97812 0.966258 -0.000330 0.001170 -0.257574
60676 55036.33180 0.967101 -0.000326 0.001171 -0.254390
60676 55126.68547 0.967934 -0.000322 0.001172 -0.251203
60676 55217.03915 0.968756 -0.000318 0.001173 -0.248012
60676 55307.39283 0.969568 -0.000314 0.001174 -0.244820
60676 55397.74651 0.970369 -0.000310 0.001175 -0.241624
60676 55488.10019 0.971160 -0.000306 0.001176 -0.238426
60676 55578.45386 0.971940 -0.000303 0.001177 -0.235226
60676 55668.80754 0.972710 -0.000299 0.001178 -0.232022
60676 55759.16122 0.973469 -0.000295 0.001179 -0.228817
60676 55849.51490 0.974217 -0.000291 0.001180 -0.225609
60676 55939.86858 0.974955 -0.000287 0.001181 -0.222398
60676 56030.22225 0.975683 -0.000283 0.001182 -0.219185
60676 56120.57593 0.976399 -0.000279 0.001183 -0.215969
60676 56210.92961 0.977106 -0.000275 0.001183 -0.212752
60676 56301.28329 0.977801 -0.000271 0.001184 -0.209532
60676 56391.63696 0.978486 -0.000268 0.001185 -0.206309
60676 56481.99064 0.979160 -0.000264 0.001186 -0.203085
60676 56572.34432 0.979824 -0.000260 0.001187 -0.199858
60676 56662.69800 0.980477 -0.000256 0.001188 -0.196629
60676 56753.05168 0.981120 -0.000252 0.001189 -0.193398
60676 56843.40535 0.981751 -0.000248 0.001190 -0.190165
60676 56933.75903 0.982373 -0.000244 0.001190 -0.186929
60676 57024.11271 0.982983 -0.000240 0.001191 -0.183692
60676 57114.46639 0.983583 -0.000236 0.001192 -0.180453
60676 57204.82007 0.984172 -0.000232 0.001193 -0.177212
60676 57295.17374 0.984750 -0.000228 0.001193 -0.173968
60676 57385.52742 0.985318 -0.000224 0.001194 -0.170723
60676 57475.88110 0.985875 -0.000221 0.001195 -0.167476
60676 57566.23478 0.986422 -0.000217 0.001196 -0.164228
60676 57656.58845 0.986957 -0.000213 0.001196 -0.160977
60676 57746.94213 0.987482 -0.000209 0.001197 -0.157725
60676 57837.29581 0.987997 -0.000205 0.001198 -0.154471
60676 57927.64949 0.988500 -0.000201 0.001198 -0.151215
60676 58018.00317 0.988993 -0.000197 0.001199 -0.147958
60676 58108.35684 0.989475 -0.000193 0.001200 -0.144699
60676 58198.71052 0.989946 -0.000189 0.001200 -0.141439
60676 58289.06420 0.990407 -0.000185 0.001201 -0.138177
60676 58379.41788 0.990857 -0.000181 0.001202 -0.134913
60676 58469.77156 0.991296 -0.000177 0.001202 -0.131648
60676 58560.12523 0.991724 -0.000173 0.001203 -0.128382
60676 58650.47891 0.992142 -0.000169 0.001203 -0.125114
60676 58740.83259 0.992548 -0.000165 0.001204 -0.121845
60676 58831.18627 0.992944 -0.000161 0.001204 -0.118575
60676 58921.53994 0.993330 -0.000157 0.001205 -0.115303
60676 59011.89362 0.993704 -0.000153 0.001205 -0.112030
60676 59102.24730 0.994068 -0.000149 0.001206 -0.108756
60676 59192.60098 0.994421 -0.000145 0.001206 -0.105480
60676 59282.95466 0.994763 -0.000141 0.001207 -0.102204
60676 59373.30833 0.995094 -0.000137 0.001207 -0.098926
60676 59463.66201 0.995415 -0.000133 0.001208 -0.095647
60676 59554.01569 0.995724 -0.000129 0.001208 -0.092368
60676 59644.36937 0.996023 -0.000125 0.001209 -0.089087
60676 59734.72304 0.996311 -0.000121 0.001209 -0.085805
60676 59825.07672 0.996588 -0.000117 0.001209 -0.082523
60676 59915.43040 0.996855 -0.000113 0.001210 -0.079239
60676 60005.78408 0.997111 -0.000110 0.001210 -0.075955
60676 60096.13776 0.997355 -0.000106 0.001211 -0.072669
60676 60186.49143 0.997589 -0.000102 0.001211 -0.069383
60676 60276.84511 0.997812 -0.000098 0.001211 -0.066097
60676 60367.19879 0.998025 -0.000094 0.001212 -0.062809
60676 60457.55247 0.998226 -0.000090 0.001212 -0.059521
60676 60547.90615 0.998417 -0.000086 0.001212 -0.056232
60676 60638.25982 0.998597 -0.000082 0.001212 -0.052943
60676 60728.61350 0.998766 -0.000078 0.001213 -0.049653
60676 60818.96718 0.998924 -0.000074 0.001213 -0.046362
60676 60909.32086 0.999071 -0.000070 0.001213 -0.043071
60676 60999.67453 0.999208 -0.000066 0.001213 -0.039780
60676 61090.02821 0.999333 -0.000062 0.001214 -0.036488
60676 61180.38189 0.999448 -0.000058 0.001214 -0.033195
60676 61270.73557 0.999552 -0.000054 0.001214 -0.029903
60676 61361.08925 0.999645 -0.000050 0.001214 -0.026609
60676 61451.44292 0.999727 -0.000046 0.001214 -0.023316
60676 61541.79660 0.999799 -0.000042 0.001214 -0.020023
60676 61632.15028 0.999859 -0.000038 0.001215 -0.016729
60676 61722.50396 0.999909 -0.000034 0.001215 -0.013435
60676 61812.85764 0.999948 -0.000030 0.001215 -0.010141
60676 61903.21131 0.999976 -0.000026 0.001215 -0.006847
60676 61993.56499 0.999993 -0.000022 0.001215 -0.003552
60676 62083.91867 0.999999 -0.000018 0.001215 -0.000258
60676 62174.27235 0.999995 -0.000014 0.001215 0.003036
60676 62264.62602 0.999979 -0.000010 0.001215 0.006331
60676 62354.97970 0.999953 -0.000006 0.001215 0.009625
60676 62445.33338 0.999916 -0.000002 0.001215 0.012919
60676 62535.68706 0.999868 0.000002 0.001215 0.016213
60676 62626.04074 0.999809 0.000006 0.001215 0.019507
60676 62716.39441 0.999739 0.000010 0.001215 0.022801
60676 62806.74809 0.999659 0.000014 0.001215 0.026094
60676 62897.10177 0.999567 0.000018 0.001215 0.029387
60676 62987.45545 0.999465 0.000022 0.001215 0.032680
60676 63077.80912 0.999352 0.000026 0.001215 0.035972
60676 63168.16280 0.999228 0.000030 0.001215 0.039264
60676 63258.51648 0.999093 0.000034 0.001215 0.042556
60676 63348.87016 0.998948 0.000038 0.001215 0.045847
60676 63439.22384 0.998791 0.000042 0.001214 0.049137
60676 63529.57751 0.998624 0.000046 0.001214 0.052428
60676 63619.93119 0.998446 0.000050 0.001214 0.055717
60676 63710.28487 0.998257 0.000054 0.001214 0.059006
60676 63800.63855 0.998057 0.000058 0.001214 0.062294
60676 63890.99223 0.997846 0.000062 0.001214 0.065582
60676 63981.34590 0.997625 0.000066 0.001213 0.068869
60676 64071.69958 0.997393 0.000070 0.001213 0.072155
60676 64162.05326 0.997150 0.000074 0.001213 0.075440
60676 64252.40694 0.996896 0.000078 0.001213 0.078725
60676 64342.76061 0.996631 0.000082 0.001212 0.082009
60676 64433.11429 0.996355 0.000086 0.001212 0.085291
60676 64523.46797 0.996069 0.000090 0.001212 0.088573
60676 64613.82165 0.995772 0.000094 0.001211 0.091854
60676 64704.17533 0.995464 0.000098 0.001211 0.095134
60676 64794.52900 0.995145 0.000102 0.001211 0.098413
60676 64884.88268 0.994815 0.000106 0.001210 0.101691
60676 64975.23636 0.994475 0.000110 0.001210 0.104967
