元器件大类,元器件子类,降额参数,I级降额,II级降额,III级降额混合
固定电阻器,电阻网络,环境温度,按元件负荷特性曲线降额,按元件负荷特性曲线降额,按元件负荷特性曲线降额
固定电阻器,线绕电阻器,电压,0.75,0.75,0.75
固定电阻器,线绕电阻器,功率(精密型),0.25,0.45,0.60
固定电阻器,线绕电阻器,功率(功率型),0.50,0.60,0.70
固定电阻器,线绕电阻器,环境温度,按元件负荷特性曲线降额,按元件负荷特性曲线降额,按元件负荷特性曲线降额
电位器,非线绕电位器,电压,0.75,0.75,0.75
电位器,非线绕电位器,功率(合成、薄膜微调),0.30,0.45,0.60
电位器,非线绕电位器,功率(精密塑料型),不采用,0.50,0.50
电位器,非线绕电位器,环境温度,按元件负荷特性曲线降额,按元件负荷特性曲线降额,按元件负荷特性曲线降额
电位器,线绕电位器,电压,0.75,0.75,0.75
电位器,线绕电位器,功率(普通型),0.30,0.45,0.50
电位器,线绕电位器,功率(非密封功率型),0.70,-,-
电位器,线绕电位器,功率(微调线绕型),0.30,0.45,0.50
电位器,线绕电位器,环境温度,按负荷特性曲线降额,按负荷特性曲线降额,按负荷特性曲线降额
热敏电阻器,全类型,功率,0.50,0.50,0.50
热敏电阻器,全类型,最高环境温度(℃),TAM-15,TAM-15,TAM-15
电容器,固定纸/塑料薄膜电容器,直流工作电压,0.50,0.60,0.70
电容器,固定纸/塑料薄膜电容器,最高额定环境温度(℃),TAM-10,TAM-10,TAM-10
电容器,固定玻璃釉电容器,直流工作电压,0.50,0.60,0.70
电容器,固定玻璃釉电容器,最高额定环境温度(℃),TAM-10,TAM-10,TAM-10
电容器,固定云母电容器,直流工作电压,0.50,0.60,0.70
电容器,固定云母电容器,最高额定环境温度(℃),TAM-10,TAM-10,TAM-10
电容器,固定陶瓷电容器,直流工作电压,0.50,0.60,0.70
电容器,固定陶瓷电容器,最高额定环境温度(℃),TAM-10,TAM-10,TAM-10
电容器,铝电解电容器,直流工作电压,-,-,0.75
电容器,铝电解电容器,最高额定环境温度(℃),-,-,TAM-20
电容器,钽电解电容器,直流工作电压,0.50,0.60,0.70
