DefaultSC.A1ModJulian     DefaultSC.ElapsedSecs     DefaultSC.EarthMJ2000Eq.X   DefaultSC.EarthMJ2000Eq.Y   DefaultSC.EarthMJ2000Eq.Z   DefaultSC.EarthMJ2000Eq.VX   DefaultSC.EarthMJ2000Eq.VY   DefaultSC.EarthMJ2000Eq.VZ   
31257.66709530519         0                         6631.1363                   0                           0                           0                            7.488911329007559            2.006647742795861            
31257.66734283738         21.38678081100807         6629.060182279212           160.1467443952699           42.91117219335928           -0.1941394452029086          7.486543636215198            2.006010959855997            
31257.66760615125         44.13709903601557         6622.295435898634           330.3908637996412           88.52782582715976           -0.4005201309606379          7.478879260480155            2.003950711455894            
31257.66786947541         66.88830679049715         6610.837870666065           500.4069619970343           134.0831838242479           -0.6066255219807408          7.465914894099289            2.000466141870061            
31257.66808439808         85.45762557769194         6598.013757754686           638.9147080140314           171.1957500893492           -0.7745354836371958          7.451411608845382            1.996568101957129            
31257.66829562346         103.7074979860336         6582.375419958496           774.7458398599081           207.5908877977334           -0.9392019844202647          7.433730237854303            1.991815996607269            
31257.66849927435         121.3029353879392         6564.45592940809            905.371973186656            242.5911043144803           -1.097560035544882           7.41347313758614             1.986371714927223            
31257.66868576113         137.4153929413296         6545.606003773724           1024.653128379373           274.5512519688007           -1.242166076157526           7.392166657836444            1.98064546937889             
31257.66882812344         149.7154962737113         6529.649854142227           1115.46819619889            298.8840087403286           -1.352263407884592           7.374132399223521            1.975798693420048            
31257.66893531747         158.977060590405          6516.742611542926           1183.697313542759           317.1650201332204           -1.434979913708637           7.35954479563603             1.971878241583273            
31257.66906193322         169.9166612816043         6500.511053438368           1264.108556208052           338.7099101978741           -1.53246602822601            7.341200754129405            1.966948263243554            
31257.66915487641         177.9469527304173         6487.918123321854           1323.00382869848            354.489837439194            -1.603867960142197           7.326969311537258            1.963123566855766            
31257.66924979564         186.1479744315147         6474.466252816985           1383.030589085232           370.572827858903            -1.676642190772711           7.311767500878936            1.959038099461289            
31257.66935467115         195.2092182822526         6458.910159211405           1449.205271866358           388.3029118486256           -1.756870592297912           7.294188091074421            1.95431367345821             
31257.66945920813         204.2412132723257         6442.681705025696           1515.004137770028           405.9321709864223           -1.836644080171472           7.275849214393999            1.949385161897641            
31257.66956190295         213.1140462937765         6426.038531295358           1579.478675105946           423.2064723297042           -1.914812700571738           7.257041991177763            1.944330803176803            
31257.66968653408         223.8821755629033         6404.910030002504           1657.495927026474           444.1090089545337           -2.009401454338715           7.233166596538511            1.937914422388016            
31257.66979960473         233.6514798458666         6384.861524133358           1728.049040707542           463.0115519315652           -2.09494162682616            7.210511915901122            1.931826128107571            
31257.6699067515          242.9089604993351         6365.093415272611           1794.697472651802           480.8677836372669           -2.175748591718514           7.188174320822282            1.925823072501496            
31257.6699894815          250.056832737755          6349.318984430153           1846.014218721921           494.6162811996933           -2.237967498658102           7.17034964759619             1.921032846242812            
31257.67007899588         257.7908750390634         6331.75067697936            1901.393618759548           509.4531020825759           -2.305112803252909           7.150498064197807            1.915697922306514            
31257.67016370958         265.1101388619281         6314.646929907038           1953.659590486641           523.4556785975359           -2.36848382983895            7.131171519899041            1.910504114302568            
31257.67024743537         272.3440471454524         6297.287510208223           2005.175190954103           537.2571063488314           -2.430945669801759           7.111556159855161            1.905232706557143            
