Sat.A1ModJulian           Sat.ElapsedSecs           Sat.X                     Sat.Y                     Sat.Z                     Sat.VX                    Sat.VY                    Sat.VZ                    
30677.00042863868         0                         6642.440000000001         0                         0                         0                         7.823275359215348         0.06827268975057331       
30677.00112308312         59.99999988125637         6626.161867111454         469.0131442837517         4.092781550674561         -0.5423706533932688       7.804108532764383         0.06809754661293102       
30677.00214027226         147.8851413354278         6543.766326269991         1151.21317754855          10.04502848983713         -1.330969540615057        7.707105948719239         0.06723884878847991       
30677.00317275393         237.0915578096174         6389.860113194118         1831.271624605608         15.97745136635963         -2.116314187737964        7.526029332423439         0.06564580665149168       
30677.00415231671         321.7257821001112         6179.974312351924         2458.297269584418         21.44611894919482         -2.839287279177762        7.279336515942972         0.06348061126962178       
30677.00518984553         411.3682723254897         5892.280431514125         3096.272806442155         27.00900829158186         -3.5732885823968          6.941653816040105         0.06052059993883455       
30677.00623274161         501.4744931249879         5538.575355131338         3703.634040623915         32.30352568663603         -4.270036156935387        6.527224272100865         0.05689082405245351       
30677.00720940434         585.8581536216661         5152.265666553869         4235.782111627483         36.94097186993297         -4.878346986313157        6.075516716599583         0.05293664571803537       
30677.0082560329          676.2868606019765         4683.651596246792         4760.931255173487         41.51573334315573         -5.476057164356317        5.528864191703705         0.04815310924350795       
30677.00930753065         767.1362663037144         4161.228455851569         5236.035234989534         45.65254173650624         -6.013834455453482        4.92110784794133          0.04283634561462763       
30677.01028779397         851.8310175742954         3632.82943255354          5627.163769881349         49.05608491363116         -6.453640026878352        4.308180723417526         0.03747541294928115       
30677.01134243345         942.9518683813512         3025.862372221082         5988.055947752542         52.19388776595722         -6.856048554804381        3.606319699977723         0.03133759273775445       
30677.01240105417         1034.416698350105         2383.242229469968         6284.283356024014         54.76616619110715         -7.182488465063073        2.865787852324456         0.02486251355548511       
30677.01339167623         1120.006444514729         1758.030539679125         6498.985923462444         56.62679072364508         -7.415113291255936        2.147829121611126         0.01858565213637251       
30677.01444893333         1211.35345834773          1072.343159219437         6659.461418111629         58.01226434978473         -7.5839123557997          1.36325887539517          0.01172743117103622       
30677.01551107377         1303.122392040677         371.7858519169107         6747.97115707887          58.76863331847931         -7.669959661788511        0.5647226084651513        0.004748366012380175      
30677.01651744718         1390.073054807726         -295.8513867102263        6764.095870265061         58.89333239683012         -7.67424847220066         -0.1934368715873832       -0.001876414194352671     
30677.01757772399         1481.680971407332         -996.0207447264802        6710.009680345642         58.40374124657363         -7.598332671315478        -0.9855641667786148       -0.00879620149216436      
30677.0186421208          1573.644855699968         -1688.166907797769        6583.356393014846         57.28025956917756         -7.440852065564722        -1.765636178281092        -0.01560842770752888      
30677.01967013051         1662.464894517325         -2339.517783067473        6393.864019522474         55.60872364695279         -7.213875997983094        -2.497039741135409        -0.02199309643708692      
30677.02073363746         1754.351894860156         -2988.745792515951        6130.780481040927         53.29432199973424         -6.904863359371217        -3.223475810316035        -0.02833133290700758      
30677.02180042957         1846.522733685561         -3608.113322578195        5801.52263102575          50.4026466615184          -6.52307254671357         -3.91410689810301         -0.03435357363717588      
30677.02285353069         1937.510670244228         -4181.96389523809         5416.015296023952         47.02092571996303         -6.080177278835303        -4.551906650104023        -0.03991113790527641      
30677.02392044245         2029.691846156493         -4719.372751268874        4968.554684072933         43.09927645755834         -5.569769644122528        -5.147398113176437        -0.04509551815224199      
30677.02498974371         2122.079474944621         -5208.118658877785        4467.593809055156         38.71202688953151         -5.001622136513536        -5.68745462242005         -0.04979219646468405      
30677.02605835149         2214.407187479082         -5641.731342943365        3919.928199134563         33.91888436613614         -4.38341583038463         -6.165384876297751        -0.05394292308273548      
30677.0271287965          2306.893636076711         -6016.780575362235        3330.11330628524          28.75991611614994         -3.720175209681146        -6.577851292187294        -0.05751873393061795      
30677.02819649329         2399.142638768535         -6328.001032530169        2707.007576942734         23.31279281967298         -3.021653818638143        -6.919472985894347        -0.06047308989939526      
30677.02926782898         2491.706042352598         -6574.072572878332        2053.461141692254         17.60261915300856         -2.290768925035592        -7.189158929104213        -0.06279670060035242      
30677.03032752849         2583.264080237132         -6749.834285285559        1385.856891423736         11.77267454541748         -1.545485985386457        -7.381548159425035        -0.0644436900426149       
30677.03139892397         2675.832649692893         -6857.40976206781         696.5117313105018         5.756025132415504         -0.7768374294624143       -7.499182917248345        -0.06543603585173424      
30677.03244644182         2766.338191903196         -6893.400891922493        15.44901677772026         -0.1851957495597258       -0.01787605460886704      -7.538481126849671        -0.06574414348911488      
30677.03351608703         2858.755538205151         -6859.208639643063        -680.1098624026123        -6.249574952711754        0.7572195534112918        -7.50102018719695         -0.06538075797904681      
30677.03455014433         2948.098088835832         -6758.320048920284        -1345.877320335269        -12.05093184100958        1.499512765886232         -7.390579810089803        -0.06438131002344527      
30677.03561759875         3040.326150180772         -6585.217183317306        -2019.338440090307        -17.91580663865965        2.25121093983437          -7.200995335392245        -0.06269006828690493      
30677.03668624504         3132.657189806923         -6343.444640780239        -2672.548688334638        -23.60056222356496        2.98155437098828          -6.935937801395989        -0.06034058524766502      
30677.03769626147         3219.922609592322         -6054.104217180983        -3264.422385175454        -28.74784872408046        3.644817789673966         -6.618299085776076        -0.057534957382182        
30677.03875834405         3311.686544003896         -5688.948368428488        -3853.836480976872        -33.86962624251872        4.307235606984293         -6.216742115725436        -0.05399630162309266      
30677.03982212521         3403.597236634232         -5264.185378340298        -4404.200360088197        -38.64748455697485        4.928048245586904         -5.748658090543039        -0.04987834034094855      
30677.04081889247         3489.71792816883          -4816.318477182554        -4878.352392184943        -42.75913579928193        5.465236403455205         -5.253965027113131        -0.0455316333253262       
30677.04187314811         3580.805615556892         -4294.590098391574        -5331.016953201457        -46.67905597526083        5.980809654374977         -4.676190697772018        -0.04045980816909085      
30677.04292980658         3672.10090655135          -3727.234604794414        -5729.533810550912        -50.1237383895544         6.437792944829829         -4.046047362336284        -0.03493274110625549      
30677.04391830488         3757.507159758825         -3161.240814625954        -6048.428420822911        -52.87347799716026        6.806548302055771         -3.415494096164512        -0.0294057230225807       
30677.04496477187         3847.921907727141         -2530.645708608026        -6325.642357922336        -55.25536259861641        7.130708065130953         -2.710695771607887        -0.02323147248187415      
30677.04601256618         3938.451336789876         -1873.122408378627        -6537.872221189681        -57.0680650943625         7.383138885257904         -1.973231036914818        -0.01677454273092751      
30677.04699786616         4023.581254994497         -1236.941343764937        -6675.507133602053        -58.2304947279375         7.551644459977214         -1.2571905684126          -0.01050833652181392      
30677.04803600863         4113.276763691101         -554.4010190564159        -6753.793882284298        -58.87145009659837        7.654451115564118         -0.4862055786050419       -0.003764680580052969     
30677.04907377417         4202.939706807956         133.5987296751016         -6762.457273084997        -58.90360224987541        7.678701993287551         0.2938628996795606        0.00305473815469414       
30677.05006167467         4288.294310099445         787.3542561649056         -6705.607784553787        -58.36529021388285        7.627799107513155         1.037836030288794         0.009554848738362811      
30677.05108989742         4377.132755261846         1459.804370725083         -6579.215590452266        -57.21787132984012        7.497849369520607         1.805879389896393         0.01626088876427501       
30677.05211845275         4465.999935998116         2117.44688228606          -6385.097372205732        -55.47932126512762        7.289794088345788         2.559771003813669         0.0228382843135585        
30677.05311507249         4552.107881801203         2733.835097836426         -6133.973408672321        -53.24505262728364        7.014981100666414         3.268866052538331         0.02901928379962444       
30677.05413652932         4640.361752081662         3337.830491477869         -5814.469901373421        -50.41388971482102        6.660662786353767         3.966062651947687         0.03509003386866082       
30677.05515703806         4728.533706441522         3906.906427173959         -5435.416897783178        -47.06458232034473        6.23621698421522          4.625101843262636         0.04082095109850918       
30677.0561657098          4815.68294550525          4429.713549876659         -5005.535920033971        -43.27426681995751        5.751272881856305         5.232409473374199         0.04609347923859724       
30677.05718243644         4903.528126969468         4911.207956718512         -4520.856908433819        -39.00816754181655        5.201253913513451         5.793307332623136         0.05095325834759694       
30677.05819880786         4991.34261746658          5341.741401044099         -3989.59704904288         -34.33899457821505        4.595428413594377         6.296134182979939         0.05529860375496291       
30677.05921444511         5079.093675711192         5716.58936848127          -3417.366857164645        -29.31638713271325        3.940269177175241         6.734930508675512         0.05907762426912303       
30677.06023127796         5166.948034102097         6032.345596651638         -2808.882525539897        -23.98210401389743        3.241336955138113         7.105291840497111         0.06225210458196773       
30677.06124897234         5254.876828193665         6285.264403590046         -2170.505150370246        -18.3922956325542         2.506180893680586         7.402449579832954         0.06478099308927769       
30677.06225661129         5341.936833935324         6470.746720545078         -1515.989047240851        -12.667669091437          1.750983463980725         7.620677484932729         0.06661588792470194       
30677.06327720948         5430.116517457645         6590.681079047207         -837.1738093984907        -6.737218302004974        0.9667077020148227        7.761952792436308         0.06777344732083787       
30677.06430187138         5518.647305807099         6640.976250118272         -146.7611350346647        -0.7123891880527409       0.1684384927982999        7.821298219750317         0.0682119848430395        
30677.06529482172         5604.43821544759          6622.145139678646         523.8492154875519         5.132825592222582         -0.6070572971009741       7.799240596289166         0.06794030501626534       
30677.06632398029         5693.357515695971         6532.650018301897         1213.291208924082         11.13490068997915         -1.403995384508219        7.693999488508561         0.06693886070582267       
30677.06735795909         5782.693283585832         6372.020510921471         1892.817399838925         17.04295158485258         -2.188667410602977        7.505137577963048         0.06520779866275911       
30677.06833986528         5867.529978300445         6155.520992131306         2519.246824585047         22.48196066246187         -2.91087550466258         7.250796483859302         0.06291131043045944       
30677.06937776339         5957.204375287984         5861.441365623201         3154.557942762946         27.98994006203338         -3.641706396364917        6.905759693918843         0.05982223018712605       
30677.07042107611         6047.346594685223         5501.599013566281         3758.605909740421         33.21805303738194         -4.33452615352535         6.48429095521182          0.05607039703226047       
30677.07139898714         6131.838107015938         5109.503598120573         4287.524936358484         37.78742782181531         -4.939006631594574        6.025969780664651         0.05200682984171516       
30677.07244577032         6222.280174226034         4635.578040783951         4807.993609555029         42.27409143743969         -5.531218480181271        5.473292464737527         0.04712185999592495       
30677.07349731887         6313.133969111368         4108.39405258052          5277.823088161039         46.31328818720448         -6.062829185855755        4.860176410634248         0.04171670741501741       
30677.07447832573         6397.892961697653         3575.688863524113         5663.875371472707         49.62130504028832         -6.496715009800457        4.242425580272176         0.03628208602960959       
30677.07553027899         6488.781723577995         2966.71945866412          6017.76777159002          52.64051244733068         -6.891054632404753        3.538432115007971         0.03009990662751462       
30677.07658780927         6580.152339488268         2321.909729391377         6307.37358070805          55.09520430589716         -7.209877216272598        2.795555258391187         0.02358701070416127       
30677.07757804717         6665.708893630654         1694.899360413031         6515.897550884717         56.84480671853002         -7.435417319992508        2.075692912970651         0.01728498728340752       
30677.07863468716         6757.002589129843         1008.109221862364         6669.637631068331         58.11012551782434         -7.59652933079261         1.290027403332966         0.01041606709248567       
30677.07969687288         6848.775434866548         306.7166232005519         6751.38804030643          58.74606009682698         -7.674886384298071        0.4906998858564299        0.003436858689044043      
30677.08070343546         6935.74244203046          -361.1569098517311        6761.067788596208         58.75716415963405         -7.671870125171941        -0.267580540325502        -0.003175697727480963     
30677.08176385763         7027.362917654682         -1060.853279952423        6700.206496630398         58.14958389941796         -7.588305697466432        -1.059022390449339        -0.01006881531887992      
30677.08282898824         7119.39020245336          -1752.200705805879        6566.747792145237         56.90978070436373         -7.423163808130473        -1.838047024094243        -0.01684478756440783      
30677.08385735932         7208.241463755257         -2401.887935458509        6370.838889584454         55.12990533191769         -7.188995802823239        -2.567443232933996        -0.02318028769788498      
30677.0849213531          7300.170526269358         -3048.791499415874        6101.283112098799         52.70805905568412         -6.872753079263455        -3.291137301459649        -0.02945674058643451      
30677.08598832857         7392.357207206078         -3664.988018419313        5765.895227050291         49.71550253974322         -6.484142450224111        -3.97809392623288         -0.03540426204422297      
30677.08704087961         7483.297616487835         -4234.72232363457         5374.980062663407         46.24390033527229         -6.035260641567462        -4.611185603585244        -0.04087453880504857      
30677.08810798711         7575.495704461355         -4767.813185947382        4922.194016862981         42.23695090846721         -5.518964251847368        -5.201760786912195        -0.04596541612898368      
30677.0891778457          7667.931486654561         -5251.85618007698         4416.188661174328         37.77159108276492         -4.945248754793726        -5.736490922768419        -0.05056148368996314      
30677.0902467499          7760.284810094163         -5680.154236522941        3864.115042872102         32.91106586583554         -4.322191948454061        -6.20843575302858         -0.0546028887151642       
30677.09131704257         7852.758096798789         -6049.301032222039        3270.706081770364         27.69719292604858         -3.65501032564861         -6.614285136221758        -0.05806116332658268      
30677.09238564769         7945.085578621365         -6354.582550544627        2644.00964369516          22.20084565288696         -2.952542040129956        -6.949263560335989        -0.06089557625328251      
30677.09345730451         8037.676728295628         -6594.190034647662        1987.840332435873         16.45568251061425         -2.218782325061436        -7.21174115794101         -0.06309231607781114      
30677.09451778984         8129.302660538815         -6763.368426584928        1318.005423612441         10.60019315378141         -1.471047731203178        -7.396801346321383        -0.06461068609821299      
30677.09558911668         8221.865299378987         -6863.989547330141        627.6495468015389         4.574643371397133         -0.7012919742207206       -7.506705367300947        -0.06546943648076935      
30677.09663727665         8312.426321196835         -6893.117586562408        -54.16755421138011        -1.367297095547178        0.05850911748601118       -7.538377394944154        -0.06564602709226293      
30677.09770682145         8404.834991914686         -6851.885506955509        -749.289682236436         -7.415833527659572        0.8331356367291738        -7.493093034833163        -0.0651485123198747       
30677.09874177345         8494.254844856914         -6744.137655069723        -1414.583494920929        -13.19565505374838        1.574935858011577         -7.375025649896842        -0.06401982399877849      
30677.0998092495          8586.484775471035         -6564.157919851967        -2086.269120538797        -19.02130348429885        2.324707484374452         -7.177782449410301        -0.06219900577291507      
30677.10087770112         8678.798995132092         -6315.769913508764        -2736.874437604657        -24.65390132896131        3.052212994183271         -6.905340379523869        -0.05972502389002862      
30677.10188816126         8766.102751437575         -6020.257567098365        -3326.033713747056        -29.74470006834298        3.712523989794991         -6.580796609428138        -0.05680561164823528      
30677.10295039991         8857.880170550197         -5649.012861546687        -3911.775903896279        -34.79510695467648        4.370930453991877         -6.172402221631658        -0.0531552898890048       
30677.10401414311         8949.787582922727         -5218.627176910896        -4457.749855957965        -39.49072685708712        4.986930298280275         -5.69797435101091         -0.0489350828806237       
30677.105010718           9035.891653457657         -4765.99522325105         -4927.210047816377        -43.51660583000648        5.51895691523019          -5.197874158752208        -0.04450265124624899      
30677.10606543988         9127.019624272361         -4239.395500388162        -5374.706308153693        -47.34062395683745        6.028836761639438         -4.61454669415835         -0.03934786465192067      
30677.10712173895         9218.283864087425         -3668.148221267698        -5767.251879869443        -50.67951308963371        6.47920453056612          -3.979915932021631        -0.03375414958799679      
30677.10810973497         9303.646720200777         -3099.1876880746          -6080.186927475734        -53.32506155297592        6.84133001561671          -3.345898830358915        -0.02817794914680077      
30677.10915550476         9394.001230050344         -2466.201483664243        -6350.793765673817        -55.59262224567306        7.158107807307079         -2.638256777726455        -0.02196618259507923      
30677.11020293284         9484.499016066547         -1806.768589121098        -6556.283317052982        -57.28893425666811        7.402980001551803         -1.898476404245099        -0.01548400368890382      
30677.11118778377         9569.590136327315         -1169.49915409035         -6687.430443801046        -58.34050850988046        7.56417727312689          -1.181046404161116        -0.009207893323793775     
30677.11222479118         9659.18757612817          -486.9337066985323        -6758.794276962275        -58.86448510413297        7.659142126457572         -0.4098613594649684       -0.002471918811603091     
30677.1132630629          9748.894253291655         201.4734340929            -6760.579045965083        -58.78106701626175        7.67558902834516          0.3708391007704445        0.004336684116071846      
30677.11425110371         9834.260979329702         854.7364816404405         -6697.16213458562         -58.13422541237506        7.617198402411072         1.114412333869137         0.01081178330826305       
30677.1152792369          9923.09168621432          1525.842818128524         -6564.033659554013        -56.87693679765449        7.479533023170322         1.881084603437672         0.01747783552383284       
30677.11630762288         10011.94423560519         2181.412954694251         -6363.357933623362        -55.03278988795198        7.263935067491508         2.632759724068621         0.02400275411322008       
30677.11730426874         10098.05443792138         2795.281817336379         -6106.055474858956        -52.70071480164429        6.981991241787286         3.339106301004317         0.03012341965104931       
30677.11832547078         10186.28629344748         3395.908412984048         -5780.593980984363        -49.77601250100058        6.620768223291022         4.032563283269259         0.0361206106744258        
30677.11934659548         10274.51146807289         3961.502117439345         -5395.611149141934        -46.33713187409407        6.189441161167943         4.687715424980346         0.04177354936404266       
30677.12035595582         10361.72020157101         4480.301748976392         -4960.167914231405        -42.46481963270011        5.698024066123213         5.290510141404453         0.04696060517482583       
30677.12137293            10449.58677040413         4956.974722187132         -4470.501722128418        -38.12566685641934        5.14217876948032          5.845933378610773         0.05172409027611471       
30677.12239027102         10537.48503477545         5382.471459147429         -3934.356799195614        -33.3886438607223         4.530642839194594         6.343018886420434         0.05596902357340169       
30677.12340630036         10625.26996931992         5751.563484483445         -3358.075635002725        -28.30999693064351        3.870729134203336         6.775217647499024         0.0596387760291605        
30677.12442362895         10713.16715996945         6061.173699601895         -2746.060706029141        -22.9287927966961         3.167646003199031         7.1385096788913           0.06269851499108482       
30677.12544145793         10801.10758395167         6307.501109288952         -2105.009576699661        -17.30425918139878        2.429334884834358         7.428061538450645         0.06510682171069172       
30677.12644945512         10888.19854060421         6486.24176122326          -1448.367548858904        -11.55454074837152        1.671627890275376         7.638493459499824         0.06681895230985649       
30677.1274697781          10976.35444602929         6599.087849397987         -768.5259197692532        -5.613413945899736        0.8861280014822759        7.771556450048038         0.06784856193282809       
30677.1284933886          11064.79439361719         6642.20931612514          -78.34100758434707        0.4061354773123758        0.08810387014794296       7.822581956939231         0.06815731831225733       
30677.12948698497         11150.64111981774         6616.4536863651           592.4715710317637         6.24504877198911          -0.6876235148310779       7.792490743983257         0.0677593944332089        
30677.13051621906         11239.56694506342         6519.829391062845         1280.995401893483         12.2256691634207          -1.483475616459105        7.678979834579661         0.06662750200711449       
30677.13155059317         11328.93686837051         6352.105863632973         1959.070498918048         18.10232715605584         -2.266422533508631        7.481895664216463         0.06476639983379134       
30677.13253402605         11413.90546930488         6128.72571273497          2584.16017963602          23.50700077413483         -2.987013608516625        7.219587989013848         0.06234574820729756       
30677.13357269443         11503.64641692722         5827.732162509001         3216.781688890867         28.96264028007727         -3.714645250803095        6.866568791314885         0.05913101199005551       
30677.13461735179         11593.90481295995         5461.003560367444         3817.710716219529         34.12950982668205         -4.403750955727156        6.437174011759915         0.05525621940087148       
30677.13559727033         11678.56977536576         5062.399027577846         4343.408309836044         38.63452891592148         -5.004390910185957        5.971386631587792         0.05108017717275854       
30677.13664577021         11769.16016454343         4582.004072532689         4859.447981129708         43.03952367800963         -5.591358418979402        5.411331733115458         0.04608456528457103       
30677.13769867064         11860.1307618781          4048.951444488955         5323.938002814509         46.98496289282715         -6.116683675618085        4.79157382821655          0.04058046520892264       
30677.13868128466         11945.02861347282         3511.067835845647         5704.547322299487         50.19831855165374         -6.544184623740581        4.168003331586474         0.03506248891130065       
30677.13973436656         12036.01488884306         2897.473190643412         6051.808367964501         53.10637488938442         -6.93079476160827         3.458875485821336         0.02880744023710486       
30677.14079211776         12127.40459317574         2249.284774004831         6334.029413522466         55.44094109291157         -7.241069288220543        2.712329860080847         0.02224203761751243       
30677.14178277666         12212.99752215855         1619.689104850151         6535.394898483377         57.07452877114876         -7.458362037575374        1.989714496657194         0.01590411714281056       
30677.14283974319         12304.31943020085         931.0033653507946         6681.235126582652         58.21302412898719         -7.610421222508621        1.202112473647265         0.009013633575128664      
30677.14390086157         12396.00005813409         229.467791987764          6754.838944819257         58.71980870532737         -7.679511732884928        0.4028518305583764        0.002038625364317054      
30677.14490654163         12482.89081564872         -437.8464069749238        6756.907678076223         58.61009885580719         -7.667880461532838        -0.3545831018643091       -0.004555654576966087     
30677.1459665946          12574.47939174017         -1136.524709292771        6688.154705974894         57.87763995147438         -7.575419254672133        -1.144660624578942        -0.01141786250026441      
30677.14703169504         12666.50406955741         -1826.262318205653        6546.904987567194         56.51563597888604         -7.401531189877121        -1.921667054781692        -0.01814987520547753      
